FacilityID,CampsiteName,CampsiteLongitude,CampsiteLatitude
246894,37,-81.113513,25.867845
10159060,Arlie Moore Pavilion,-93.200346,34.268512
10159062,Caddo Drive Pavilion,-93.185971,34.260894
10159064,Highway 7 Pavilion,-93.109364,34.236428
10159066,Lower Lake Pavilion,-93.098961,34.177308
10159068,Oak Bower Cabins,-93.201761,34.289165
234009,25,-113.289842,46.206854
10159159,1,-88.704133,31.339917
10159225,1,-96.496075,38.694769
10159237,1,-96.511886,38.678587
10159246,1,-96.502507,38.707422
10159257,Holmes Bend Picnic Shelter,-85.267202,37.222438
10088563,2,-114.306133,39.01037
247559,1,-93.036331,34.523798
255286,9,-83.981401,34.392037
10161359,Site 1,-109.169543,40.898673
255284,Pine Shelter,-78.077254,40.379779
255285,1,-78.231286,40.242582
255282,1,-78.170995,40.310544
255281,1,-78.162913,40.376628
255283,1,-78.005624,40.430817
260552,Site 1,-105.852557,40.379263
233494,19,-93.184276,34.250272
10163053,1,-115.022913,47.232597
10163081,Jesen Cabin,-111.1558,43.18282
10163100,1,-95.28199,35.878711
10165105,Standard,-121.91032,44.17788
10165110,Standard,-106.855628,38.6553
10165115,Standard,-106.220432,38.584475
10165120,Standard,-107.542879,38.250163
10165125,Standard,-122.545556,43.973056
10165130,Standard,-106.351585,39.267893
10165135,Standard,-149.255688,60.751094
10165140,Standard,-107.545542,38.259156
10165145,Standard,-107.882951,39.077742
10165150,Standard,-121.98285,44.49294
10165155,Standard,-121.98285,44.49294
10165160,Standard,-148.888759,60.788454
10165165,Standard,-122.243611,43.836667
10165170,Standard,-122.2975,43.709167
10165175,Standard,-106.196105,38.715503
10165180,Standard,-107.1975,37.4655
10165185,Standard,-122.609444,43.962222
10165190,Standard,-108.06771,37.78701
10165195,Standard,-122.412222,43.501111
10165200,Standard,-114.4261,43.8204
10165205,Standard,-114.855278,44.25639
10165210,Standard,-106.835436,38.828863
10165215,Standard,-144.7585,60.66439
10165220,Standard,-114.904499,44.164037
10165225,Standard,-107.2101,37.5389
10165230,Standard,-106.642482,38.767345
10165235,Standard,-105.024831,37.348457
10165240,Standard,-106.290197,38.782798
10165245,Standard,-107.963264,39.074818
10165250,Standard,-107.937014,39.048755
10165255,Standard,-105.554005,39.508235
10165260,Standard,-107.188073,38.019534
10165265,Standard,-105.105092,39.271774
10165270,Standard,-106.323622,39.091688
10165275,Standard,-122.615556,43.963889
10165280,Standard,-106.413364,39.152119
10165285,Standard,-121.807475,43.979449
10165290,Standard,-107.26681,38.956703
10165295,Standard,-105.092205,39.327485
10165300,Standard,-106.099761,39.208593
10165305,Standard,-122.064722,43.630278
10165310,Standard,-105.360165,39.171224
10165315,Standard,-107.006339,38.982165
10165320,Standard,-115.1511,44.1486
10165325,Standard,-105.355554,39.327016
10165330,Standard,-106.396856,39.158821
10165335,Standard,-106.397855,39.157616
10165340,Standard,-105.805362,39.482971
10165345,Standard,-105.799906,39.482365
10165350,Standard,-78.930833,41.9225
10165355,Standard,-105.823633,38.329669
10165360,Standard,-114.53096,44.2492
10165365,Standard,-78.943056,41.962222
10165370,Standard,-78.932778,41.9125
10165375,Standard,-122.263333,43.497778
10165380,Standard,-106.33563,38.708438
10165385,Standard,-115.0088,44.1988
10165395,Standard,-122.254722,43.885556
10165400,Standard,-108.0771,37.3762
10165405,Standard,-105.65969,38.264137
10165410,Standard,-107.997937,39.034553
10165415,Standard,-121.912778,44.429889
10165425,Standard,-105.5077,39.284721
10165430,Standard,-114.6933,44.2565
10165435,Standard,-107.342951,37.24294
10165440,Standard,-106.359449,39.258104
10165445,Standard,-105.535061,39.511054
10165450,Standard,-105.88441,39.411563
10165455,Standard,-107.53601,37.40891
10165460,Standard,-107.6612,37.4046
10165465,Standard,-79.154444,41.621389
10165470,Standard,-114.8411,44.2616
10165475,Standard,-78.927778,41.821944
10165480,Standard,-106.710148,38.859166
10165485,Standard,-114.9145,44.1354
10165490,Standard,-114.904765,44.161685
10165495,Standard,-114.4194,43.8036
10165500,Standard,-106.765213,38.727673
10165505,Standard,-106.320261,38.611808
10165510,Standard,-114.8658,43.9188
10165515,Standard,-105.176625,39.348821
10165520,Standard,-105.187773,39.320598
10165525,Standard,-106.409499,39.067119
10165530,Standard,-114.86927,43.984452
10165535,Standard,-122.15919,44.72158
10165540,Standard,-78.946667,41.874167
10165545,Standard,-107.505863,37.446874
10165550,Standard,-106.503242,38.611727
10165555,Standard,-105.20819,39.297564
10165561,Standard,-149.3699,60.34074
10165566,Standard,-122.517131,43.976347
10165571,Standard,-106.469276,38.638716
10165576,Standard,-106.565704,38.858443
10165581,Standard,-114.8491,44.2669
10165586,Standard,-122.328333,43.496389
10165591,Standard,-122.373056,43.762778
10165596,Standard,-114.8691,44.2486
10165601,Standard,-122.451389,43.601389
10165606,Standard,-121.88801,44.21232
10165611,Standard,-122.441164,43.514789
10165616,Standard,-105.951479,39.372238
10165621,Standard,-122.21125,44.382444
10165626,Standard,-122.30044,44.84493
10165631,Standard,-122.045788,43.861544
10165636,Standard,-114.8611,43.9202
10165641,Standard,-106.415789,38.521437
10165646,Standard,-108.077778,37.370917
